batiment_groupe_id,l_annee_construction,nb_log
63113000HW0163_ecebe6927ed4207,"[ ""1972"" ]",21.0
63113000HV0075_d652e184c52ffaa,,6.0
63113000HR0178_0496a3762417657,"[ ""1970"" ]",13.0
63113000IS0252_9770af300e2612e,"[ ""1999"", ""1997"", ""1998"" ]",256.0
63113000IT0027_edbdcc9455ec027,"[ ""1935"" ]",18.0
63113000IR0246_d89a26a05ff038b,,0.0
63113000IT0414_f24e61129dc7e15,"[ ""1972"" ]",10.0
63113000KP0335_3b36c8e7b4f6b5d,"[ ""1989"" ]",44.0
63113000LP0100_e3562acd4bcd841,"[ ""1967"" ]",8.0
63113000LN0014_675bcba5acc0538,"[ ""1970"" ]",21.0
63113000LO0627_3bd3085f9f4c11a,"[ ""1980"" ]",6.0
63113000LS0276_2d85f6baf5b1189,"[ ""2013"" ]",67.0
63113000LX0267_5832a61ff57540b,,18.0
63124000AZ0151_636ba1cc6aa0a62,"[ ""2014"" ]",38.0
63124000BS0335_bbf497252be4fa8,,0.0
63178000AC0199_783281ff513766f,,11.0
63178000AT0263_2089fd972db0ef4,"[ ""1980"" ]",27.0
63178000AY0165_e3a5e844ca7cee1,,9.0
63236000AC0463_36617d50d9bb241,"[ ""1959"" ]",256.0
63300000BY0071_375faab58346d0c,"[ ""1978"" ]",4.0
63300000BW0557_52d29812bf20139,"[ ""2005"" ]",0.0
63032000BB0118_cae77a0e03e52e4,"[ ""1971"" ]",18.0
630700000C1311_d55fb17e98fb646,"[ ""2012"" ]",14.33
63069000AL0404_2eb00da6b1d3cfd,"[ ""2008"" ]",13.0
630700000C1311_094d57671782e4b,"[ ""2012"" ]",14.33
630700000C1311_5f44317e3c31e29,"[ ""2012"" ]",14.33
63069000AL0404_857fd6e7435b53c,"[ ""2008"" ]",13.0
63069000AL0404_fdb64f24978e358,"[ ""2008"" ]",13.0
63075000AI0121_f696fe193bbc6da,"[ ""1953"" ]",0.0
63075000AI0121_c73b1483bfb8ca7,"[ ""1953"" ]",8.0
63075000XA0455_470cff909ed2a5d,"[ ""1991"" ]",12.0
63113000BZ0140_89c94cf0c69cc06,"[ ""1967"" ]",4.0
63113000CE0063_44d5567aa6e8a1b,"[ ""1967"" ]",0.0
63113000CE0063_8d332bc6923688b,"[ ""1967"" ]",0.0
63113000EL0096_878e295d656927e,,12.0
63113000EO0287_cd4f4b59d855f83,,0.0
63113000EO0287_2f547a90acce9e3,,90.0
63113000EP0011_3ef893ed56454ea,"[ ""1957"" ]",0.0
63113000EP0011_ac3068676342ada,"[ ""1957"" ]",30.0
63113000ER0016_f49ea7464f0616b,"[ ""1969"" ]",62.0
63113000ES0079_09900a7d9f6ca29,"[ ""1965"" ]",7.0
63113000ES0079_aa5c97719e1c344,"[ ""1965"" ]",0.0
63113000EV0287_018898ae769af79,,66.0
63113000EW0030_9e79ee56af40ba5,,0.0
63113000EW0030_7008719a8d7d870,,20.0
63113000EX0156_bfe3ae74230c7f2,,0.0
63113000EX0156_e3d5cecd55a5089,,0.0
63113000EX0156_3c8e2122bb06216,,6.0
63113000HP0143_05a0e57c435f9b5,,15.0
63113000HP0143_5124087453b7f68,,0.0
63113000HR0186_671f728afe2e454,"[ ""1965"" ]",4.0
63113000HW0118_456bb98b937ffb1,,11.83
63113000HW0118_897405828450bc5,,1.17
63113000IL0188_e310bc8407550fc,,5.4
63113000IL0188_74cf996c8c85488,,3.6
63113000IT0024_72a8f669f514ef7,"[ ""1960"" ]",8.0
63113000IT0024_78f5f961a8c3c98,"[ ""1960"" ]",0.0
63113000IZ0153_1136dddbed3e6db,"[ ""1995"" ]",125.0
63113000KL0214_811efdd22e60d94,,18.15
63113000KL0214_c73a1d7f9c60908,,14.85
63113000KM0040_628a946d8e834a0,"[ ""1958"" ]",0.0
63113000KM0040_1d65a646337744f,"[ ""1958"" ]",0.0
63113000KM0040_8e0da770c7d0ea1,"[ ""1958"" ]",10.0
63113000KN0040_1a0815741cb962b,"[ ""1965"" ]",18.0
63113000KN0075_3439f06ace51071,"[ ""1963"" ]",0.0
63113000KN0075_2f11632c116d485,"[ ""1963"" ]",8.0
63113000LN0101_78af095bec87646,"[ ""2012"" ]",35.0
63113000LO0336_b7d0002446ba448,"[ ""1955"" ]",0.0
63113000LO0336_112184ebfe54866,"[ ""1955"" ]",0.0
63113000LO0264_496ece76c636534,"[ ""1959"" ]",16.0
63113000LO0264_2e208669526b3fb,"[ ""1959"" ]",0.0
63113000KR0364_677eb9fd05845ab,"[ ""1976"" ]",10.2
63113000KR0364_ab685373e574cce,"[ ""1976"" ]",23.8
63124000AN0275_700dca626aaa355,"[ ""2015"" ]",32.5
63124000AN0275_93e6012657dc421,"[ ""2015"" ]",32.5
63124000CL0512_a4eb068ecbba0c0,,17.5
63124000CL0512_691d2f77b9f4c39,,17.5
63178000AC0551_3fbdd222c64af96,,6.39
63178000AC0551_244203a7db03347,,2.61
63178000AK0266_bad50066698945a,"[ ""1977"" ]",20.0
63178000AX0139_c69ed716446dc82,,0.0
63307000AP0226_0dd701a3d833b1a,"[ ""1968"" ]",0.0
63307000AP0223_aaf6710dec0cd68,"[ ""1970"" ]",0.0
63307000AP0226_abeacc0b8450bfa,"[ ""1968"" ]",28.0
63307000AP0223_99a694954078270,"[ ""1970"" ]",20.0
63308000AI0087_f1325986f2db003,"[ ""1968"" ]",13.0
63308000AI0087_3e1db1d334f8d8b,"[ ""1968"" ]",0.0
uf631780097973_399500531e79a54,,1.19
63075000AH0103_3d41f5c145a1eeb,"[ ""1975"" ]",10.0
630700000C1322_fd273d9560b5930,"[ ""2009"" ]",25.08
63075000AL0704_2081f7026f9f981,"[ ""1965"" ]",88.0
63069000AH0312_49166c6ca75b998,"[ ""1971"" ]",32.0
63113000IT0054_02f98692b7fada6,"[ ""1970"" ]",15.0
63113000EO0688_1de606a14c063a7,"[ ""1971"" ]",36.0
63113000ES0107_ec5b724087a6877,"[ ""1972"" ]",72.0
63113000ET0325_6369a148794d5c0,"[ ""1981"" ]",15.0
63113000EV0015_ec3ca5b24caf64d,,25.0
63113000EY0165_d8422d22fbe9069,"[ ""1960"" ]",10.0
63113000EX0246_d5262d4e2bfa8ad,"[ ""2007"" ]",69.89
63113000HV0223_077c05e2ed1385b,,7.0
63113000HW0339_f553c439f0df66c,"[ ""1996"" ]",14.0
63113000HW0447_fea2e59f91fdb80,,12.0
63113000HV0039_20b846bf612bb8f,,19.0
63113000IS0296_eded631e40886cd,"[ ""2011"", ""2012"" ]",142.0
63113000IT0053_bbd6e67c58c55cb,"[ ""1968"" ]",9.0
63113000IV0502_eae65e3e1ef7836,,8.0
63113000LO0801_4fe4076c13ab60b,"[ ""2011"" ]",42.0
63113000LP0571_5e4a36a1b03dbc6,"[ ""1973"" ]",33.0
63113000LV0542_619fd9b0e50e04a,"[ ""2004"" ]",166.0
63113000KM0094_b0eb89fc3c0af75,"[ ""1970"", ""2016"" ]",142.0
63164000BV0179_212b0865c84767d,"[ ""1976"" ]",23.0
63178000AZ0048_94bff79a7a8d4c6,"[ ""1971"" ]",15.0
69034000AH0005_659781da030377b,,50.0
69088000AI0237_267840a052c635c,"[ ""2016"" ]",40.0
69256000AP0004_8ce5f4f1b6f075e,"[ ""2013"" ]",116.0
69256000BO0388_0c52008e91710fe,"[ ""2014"", ""2019"" ]",0.0
69264000AK0373_b60f0fe21be7d0c,,5.0
69266000AV0049_d5047082fc426e6,"[ ""1958"" ]",0.0
69266000AZ0109_27f4afa5f91b3a1,"[ ""2012"" ]",76.0
69266000BC0365_9c185808e6050ff,"[ ""2015"" ]",26.0
69275000AS0596_c7609d77eb0e10c,"[ ""2019"" ]",29.0
69383000CO0155_035f6b397064736,"[ ""2018"" ]",7.0
69383000CT0010_dfd71b56a7f0cf3,"[ ""2019"" ]",21.0
69388000AN0329_65fbb3e077bd877,"[ ""2014"" ]",29.0
69019000AE0021_0109f3a26ebfd0f,"[ ""2016"" ]",30.0
69027000BE0141_69c79fb98344cf0,,0.0
690290000A0592_df107659a7d0753,"[ ""1965"" ]",25.0
690290000D1301_fa10d485c9b9905,"[ ""1996"" ]",1.0
690290000D1302_d81c7e050a6fa89,"[ ""1996"" ]",0.33
69034000AC0317_89cefc41168b366,"[ ""2006"" ]",40.0
69034000AX0391_d487c5e9822d667,"[ ""1990"" ]",27.0
69034000AX0410_af1b8c72824ad07,"[ ""1988"" ]",18.0
69069000AD0265_39917b79093b687,"[ ""2007"" ]",1.85
69142000AH0104_7c96433bc1ec3b1,"[ ""2008"" ]",32.0
69149000AE0150_78324bd9d061cc3,"[ ""1960"" ]",17.0
69149000AI0238_557ff84cd59f51e,"[ ""2016"" ]",35.0
69149000AI0383_6ba51ede79b52d4,,9.0
69202000AE0186_8a478d046093f52,"[ ""2004"", ""2012"" ]",26.0
69202000AE0375_0664030c5823cba,"[ ""2000"" ]",19.0
69204000AT0264_8b35758ac44b56a,"[ ""2003"", ""2004"" ]",10.8
69204000AW0202_339d16b9ddb6671,"[ ""2020"" ]",11.0
692190000F0500_63659b734518047,"[ ""2006"" ]",12.0
69244000AS0204_3258deaf2e1f8ab,,4.0
69259000BL0045_525db71f7a295bb,"[ ""1988"" ]",10.0
69264000AB0303_7e1ffe692c33875,"[ ""2007"" ]",26.0
69264000AC0689_5d1a62d53eece30,,28.0
69264000AH0040_b9ee7f07a845d94,,5.0
69264000AH0054_d352bbfc5879b71,,5.0
69264000AH0452_35e96a2ea960b9f,,4.0
69264000AL0159_96e69c1afdceee4,"[ ""1976"" ]",33.0
69264000AL0072_a24a5b549831c44,,4.0
69264000AL0160_463b4d5e5c43b5a,"[ ""1979"" ]",19.0
69264000AN0002_3081e77466cf849,"[ ""2007"" ]",21.0
69264000AN0036_f6d515a5d73e096,"[ ""2008"" ]",36.0
69264000BC0015_67975e384c94e1d,"[ ""1850"" ]",6.0
