batiment_groupe_id,annee_construction,mat_toit_txt
63178000AM0286_4d81f2687d6fa82,2008.0,INDETERMINE
63178000AX0139_c69ed716446dc82,2002.0,
63178000AY0165_e3a5e844ca7cee1,1972.0,BETON
63245000AP0133_15ac6a632e5f583,1975.0,
63300000BR0108_726f926c0da600e,2011.0,INDETERMINE
63300000BW0076_28ef05c0ec96628,2007.0,TUILES
63300000BW0167_c5471718a546586,1958.0,ARDOISES
63300000BW0557_52d29812bf20139,,TUILES
63300000BY0071_375faab58346d0c,1800.0,
63300000BX0180_34afdb07c025160,1860.0,
63300000CD0231_4c01e3998d22e09,1880.0,TUILES
63300000CE0180_7fd65f9bd2fa00b,1800.0,TUILES
63307000AP0223_99a694954078270,1971.0,BETON
63307000AP0223_aaf6710dec0cd68,,
63308000AI0087_3e1db1d334f8d8b,1970.0,
63308000AI0087_f1325986f2db003,1970.0,BETON
63308000AI0566_ed7c8d745f645c2,1990.0,INDETERMINE
uf631130292491_ae5fbf949350d27,1941.0,TUILES
uf631780097973_399500531e79a54,1725.0,TUILES
uf631780311064_f7baa1e4e3f601a,2016.0,
uf632450129838_514e54b22899d2d,,
69009000AM0247_2fa9daad75694e1,2007.0,AUTRES
69019000AE0714_7862b06bbc0db4c,2018.0,INDETERMINE
69027000BE0889_9c0e38d4e349fb3,2018.0,INDETERMINE
690290000A0592_df107659a7d0753,1971.0,BETON
690290000C1953_19fbf1157f68dd1,2012.0,
690290000C1953_9392ca47dfe128a,2012.0,
690290000B2593_555d0aaacf659be,2003.0,TUILES
690290000B2594_42e903a537ad3b0,2003.0,TUILES
690290000B2588_5c96b319dbe95aa,2003.0,TUILES
690290000B2066_5c547ab5b381d8a,2011.0,TUILES
690290000B2649_0bb729ec0abe78c,2004.0,TUILES
690290000C1953_0cb63bd3230bb9a,2012.0,TUILES
690290000D1302_d81c7e050a6fa89,2000.0,TUILES
690290000F0409_421feb94b34cec6,1905.0,TUILES
690290000F1169_abbe0546362add4,1996.0,INDETERMINE
690290000F1578_d88007db1333d2b,1976.0,BETON
69034000AC0296_bb8a6d5e11db5d2,1979.0,BETON
69034000AC0317_89cefc41168b366,1908.0,TUILES
69034000AH0005_659781da030377b,2013.0,INDETERMINE
69034000AP0249_e928d869816e2d8,2012.0,INDETERMINE
69034000AX0389_7e181542d82b4f5,1980.0,BETON
69034000BE0039_a87f8af976cc7c6,,
69034000BK0370_f471c547573f336,2007.0,
69040000AI0310_03a5c398a357b5d,1963.0,BETON
69040000AI0310_9574ab4edba6530,,BETON
69040000AI0310_edc8597e2108eb7,,
69044000AE0051_2e9cce0056f8338,2017.0,INDETERMINE
69069000AB0279_e2a28bdb46169dd,2009.0,INDETERMINE
69069000AD0265_39917b79093b687,1964.0,
69069000AD0266_4c2912f257c2d73,2010.0,INDETERMINE
690810000B1028_10f6a4e42d44055,1989.0,TUILES
690810000D1014_577ebff78e35934,1971.0,BETON
690810000D1027_952c55dd8cdc17f,2017.0,INDETERMINE
69088000AI0237_267840a052c635c,1968.0,INDETERMINE
69089000BK0044_2e8c9a25990bd45,1930.0,TUILES
69089000BR0292_1ce9c6ffeef4f65,2003.0,TUILES
69091000AN0227_a37c4a9e39b98ca,1935.0,TUILES
69091000AN0228_f4be60739980fc5,2009.0,TUILES
69142000AH0104_7c96433bc1ec3b1,2010.0,
69149000AE0150_78324bd9d061cc3,,INDETERMINE
69149000AI0238_557ff84cd59f51e,2017.0,INDETERMINE
69149000AK0508_cbb22d597faa619,2005.0,
69149000AL0226_399bc6263345fae,1890.0,TUILES
69149000AL0226_ec73adba8b1714a,1890.0,TUILES
69149000AS0138_c48236f4ba5e51f,1920.0,BETON
69152000AH0324_f86e13f0aa26779,2013.0,INDETERMINE
69202000AD0143_06bdc184282bb52,1978.0,BETON
69202000AE0040_ae551e01245b454,1963.0,BETON - ZINC ALUMINIUM
69202000AE0186_8a478d046093f52,2005.0,INDETERMINE
69202000AE0216_09a1f565fab273b,1967.0,BETON
69202000AE0361_2c34d2ef00bbcf9,1999.0,INDETERMINE
69202000AS0126_08cdbc0d9a499a7,1966.0,BETON
69202000AY0240_8932c028aae8897,1972.0,BETON
69204000AT0263_c12fb29787af65f,1937.0,TUILES
69204000CB0019_78878591cdc50f5,2012.0,INDETERMINE
69204000CE0046_7910577d389bca9,1987.0,TUILES
69244000AN0036_61825165e5636b6,1977.0,
