personne_id,siren,denomination,batiment_groupe_id
63PBDP63,483642427,SCI GAMONE,63308000AI0437_12a40486d3199dc
63PBDPT3,523058915,LONA,63113000EV0190_e3708b934e0fc6a
63PBDPXD,350782652,DU 16 BD DE LA SOUS PREFECTURE,63178000AC0095_4d53946f64a8dc8
63PBDQBJ,528950074,SCI 2BG,63113000HV0164_9f46efbe0228cef
63PBDQKK,394411813,PACE,63113000AI0205_22323e49761cdb6
63PBDS7K,750913683,SCI CRISTAL,63113000EK0535_ad6a87ebfa6f273
63PBDS82,750740102,RBVL,63113000IR0264_93e77817921c836
63PBDSBB,537619876,J2C,63113000HW0246_a9199d5f9e2b3a6
63PBDSRC,749934519,SCI SAINT YVES,63300000BX0180_34afdb07c025160
63PBDTNG,443183157,MONBLAN,63113000HP0330_360fa334fb3ea3a
63PBDV23,345345953,LAGRANGE IMMOBILIER,63124000AZ0151_636ba1cc6aa0a62
63PBDWBR,388883688,SCI PYTHAGORE,63113000HZ0048_066475e933ac405
63PBDWTM,794110551,SCI FLOCLA,63113000IT0180_38729015a73c658
63PBDZPX,802393868,SCI PEROGIS,63113000LS0276_2d85f6baf5b1189
63PBDZTB,344186176,RELAIS DEPARTEMENTAL DES GITES DE FRANCE DU PUY- DE- DOME,63113000HV0083_1d51e7a5c2f5399
63PBDZWQ,807925615,SCI DES LACS ET DES COUZES,63178000AI0157_0c69b094c43019f
63PBFBJG,849087077,SCI DES CHATS,63113000IT0054_02f98692b7fada6
63PBFBVC,842804932,ANALOU,63113000EV0287_018898ae769af79
69P996GX,333384311,BPCE LEASE IMMO,uf693820152347_50ddfd71bcad815
69P9993N,303336119,SOCIETE LAMY,69385000AY0127_1bc403c2f72cbff
69P999PG,387472905,PATHE LYON,69382000AL0015_a2a63f70c0bfc49
69PBB23T,379969876,KHEOPS III,69381000AP0169_7c37a0a412833a5
69PBB24C,381122886,RENAT,69388000AD0018_a0691fabc1b6383
69PBB27C,379264278,LES 3 A,69383000AZ0188_2f26bc04607278c
69PBB29M,379939010,BASCH 3-4,69387000AD0086_2c03c3738cde4db
69PBB2HH,353545007,KINE SISLEY,69383000BI0059_cd0159de70e7a12
69PBB2KS,352330377,SCI CAMM,69385000BN0105_a28af00974c770e
69PBB2VN,380221960,SCI PWA,69382000AZ0089_42180474350e8b4
69PBB39P,385207634,PLACIMO,69387000BK0056_6478799b22b11cc
69PBB3DP,U14236677,INSTITUT RETRAITE PREVOYANCE AUTO CYCLE MOTO,69385000BK0090_a2135639fa21c63
69PBB3XK,U21881037,SCI MILLIAND ET ASSOCIES,69386000AK0018_050c9064be6204f
69PBB4T8,388497133,THIBALEX,69034000BK0354_92192c26d676dec
69PBB4WT,389415878,CORNET,69386000BD0156_1c27fb692f2af98
69PBB5VJ,U21883071,SCI GUELED,69387000AE0143_3bb824fdd1536bd
69PBB5WH,388824666,DEJA,69388000AM0064_aa9d6ac7e09657a
69PBB67J,399430461,ALBARINE,69387000AE0130_1b93a61b9a6b442
69PBB67V,399809862,A G  IMMOBILIER,69382000AS0052_b4c6cf8faf20c4d
69PBB6G2,395181597,PFR,69383000AV0011_8ef958d92f49239
69PBB6NC,398344721,BECASSE,69387000AE0140_059540e6306b255
69PBB6R3,398236745,BD,69386000AK0065_afcd8396d38b8ef
69PBB6WC,350227112,SNC LES ALLEES DE L EUROPE,69388000BX0125_915dbb4f3685343
69PBB6ZR,U16132953,SCI LALOU 64,69034000AX0386_eacd0ed590b7d85
69PBB734,403254196,CHAVANNE M FAVRE GILLES,69381000AV0034_1d8f133447491d3
69PBB7LW,401342316,GROUPE 'B'IMMOBILIER,69386000BD0143_5f864acdcdf0fa4
69PBB7ZT,U22641517,SCI CANNELLE,69383000AB0079_c598d57789f5ee3
69PBB84T,411430671,DU LABORATOIRE MONTCHAT,69383000CS0058_62f9353039c3a31
69PBB855,403900947,PASSAGOT,69388000CK0040_c7e5d82ede06246
69PBB8CK,407908243,POLOMI,69382000AL0004_d5f73928bacac01
69PBB8D6,400287298,CENTRE PIQUET AUDITION,69387000AE0098_dea57feb1a3319e
69PBB8N8,409465333,SCI FLEUVE 96,69387000AT0034_817e3df0ff133ab
69PBB92T,U22662995,SCI DU LAVOIR,69278000AI0523_ea9e1f301c04af7
69PBB966,U11478849,SCI LAGOUTTE,69389000BP0167_f94acfc685e48cd
69PBB9FW,411446859,DE LA CHAPELLE,69388000BS0051_1d509f673f3de70
69PBB9JH,413509381,ZEPI,69381000AS0060_9a783bbfe3665ea
69PBB9LF,U22650944,SCI LUGGER,69387000AL0037_7d3e427a171e9cf
69PBB9N6,413212614,23 RUE DES MACCHABEES,69385000AS0056_809f5e41382f063
69PBBP5R,775663115,CONFEDERATION OEUVRES LAIQUES VACANCES,69386000BD0004_35e4f532dcac881
69PBBR28,962502860,SORNIN SAS,69389000BS0062_b875b87c9cfb95b
69PBBR6F,U22049668,STE RAMSES   SC PARTICULIERE,69387000AI0016_d09253555097a84
69PBBRKH,323842450,LAMY SA,69387000BR0154_608396b68f07ecf
69PBBS7N,U23746886,STE IMMOBILIERE DU GROUPEMENT D'AIDE A LA CONSTRUCTION,69382000BC0018_a7d0e73193bd862
69PBBT8K,U21869756,SCI DU 5 PCE DES CELESTINS,69382000AK0090_aded67131219fa8
69PBBTLR,U17881598,SCI DE LA RUE SAINT MICHEL,69387000AM0042_319732011be0210
69PBBTQS,U21860265,S C I ROND POINT BACHUT,69388000BI0123_8eec7c6f4e5541d
69PBBTRC,316387836,DU 1 RUE SEBASTIEN GRYPHE,69387000AD0046_c0a7d3a23608ba6
69PBBWFG,316969872,SCI BARODET,69384000AI0022_78e82f504321044
69PBBWWJ,341701233,SMA,69385000AP0029_7ff1c9848fb387f
69PBC26Q,493773428,SCI LA PUCE DU LAC,69382000BC0166_00bf364ad01dd89
69PBC27F,407708114,FLOREGILL,69386000AS0114_fb8a93e34b58ce0
69PBC2QX,326769122,P E A A L E,69383000CH0006_0d330e4b859112f
69PBC37W,505109090,VINEL OLAGNIER,69383000AE0124_5b83d411c7c0b97
69PBC3G8,402132633,BARABAN,69383000DZ0037_1a73b9fbcff1118
69PBC52K,U22547326,COPROPRIETAIRES DU BAT A 96 A 98 CRS EMILE ZOLA,69266000BM0033_214ffae1c54a032
69PBC93Q,U22549431,GROUPE IMMOBILIER LES DEUX ALPES,69266000BE0215_4ee95d639782d83
69PBC9F3,342548807,FONDATION DES PETITS FRERES DES PAUVRES,69389000BP0219_76071312cc78726
69PBCB7R,U22688539,STE CILVIER,69387000BR0142_f15e045743470cb
69PBCBCQ,417926870,HANNESY,69386000BH0161_08326635b3c08f6
69PBCC66,U12488916,ASS LACORDAIRE BUGEAUD TETE D OR,69386000BE0078_8f960d03efd8060
69PBCC69,337606263,SOREGEST,69034000AX0391_d487c5e9822d667
69PBCC7L,U22653656,SCI FAGIC,69384000AW0249_d058a19315533dc
69PBCC9T,421886615,SHANGRI-LA,69383000BE0053_e54456669479f57
69PBCC9V,U22654423,SCI SARANIS,69383000BE0053_35bc971f4e22a80
69PBCCL7,421012683,SCI TRACE ELEMENT,69387000BZ0144_586f2638ba3419f
69PBCCW8,422303834,EURO IMMOBILIER,69266000BP0033_353af17454c2d7d
69PBCD4W,429549124,VIVERET,69387000AI0020_53ab43f92e5d016
69PBCD6T,429960776,DE MONTRODEIX,69383000AV0041_919629fae3a377d
69PBCDLF,424240885,KALAI,69386000BK0072_204a4a0f8c14b48
69PBCDM4,424194553,MOLIERE,69266000BE0111_173f277058b18cd
69PBCFH9,432193647,CILPA,69388000AM0087_c1d186228a536ec
69PBCFXX,388823825,RAMBAUD,69383000DT0090_dc784f8f04e19aa
69PBCGCQ,434474615,PEGASE,69382000AV0043_09ed7448054be4e
69PBCGD9,434302147,CINBAT,69381000AR0142_7ffcf25c4208e5e
69PBCGV4,434995684,PATRALEX,69383000EL0020_09a33b74016104e
69PBCGWM,415217181,YUTZ,69386000AP0083_40d2ea8f6651bc2
69PBCGWR,U22634197,SCI YVERNON BURDY,69381000AP0293_3cb8120e69c0869
69PBCH48,U22670986,SCI DU 27 RUE GENERAL DE MIRIBEL,69387000BK0094_d6b5dd4b74d1a3a
69PBCH5T,440038628,SCI JOG,69388000AH0115_49c0f617cc7ab7c
69PBCH8K,U22682456,LES GAULOIS,69386000BD0050_0bd5d5bc8925397
69PBCH8W,428863500,FRANCE TERRE INVESTISSEMENT,69286000BH0254_d783e7fa6c0e84a
69PBCHDZ,438833428,B F G T,69382000AP0013_eee88ff0db12558
69PBCHT6,439663535,SCI PICA SOULTZ,69383000AZ0215_3bca192ff774235
69PBCHWB,438796096,SCI BSV UN,69383000BK0036_5c23558553fd1fd
69PBCJK5,438403743,SCI MOCOS,69382000AK0008_71063bc01a8ef12
69PBCJSP,440630325,ALIZE,69383000BH0031_13416445677a530
69PBCJTT,435080296,UNION D'ECONOMIE SOCIALE NEMA LOVE,69034000BE0039_8354ea7af893609
69PBCKCL,440978245,TETE D'OR,69386000AR0046_c3a72ea03bd855b
69PBCKDV,422311357,AVENIR IMMO,69266000BT0249_5e20ff39c6a3e65
69PBCLF7,443166368,DE L OCTROI,69382000AS0051_37d0485303c5b80
69PBCLK9,444079586,SCI RATATAM,69383000AZ0223_dcee2b0cb9374f2
69PBCMBT,448014712,SCI DES TROIS SOEURS,69383000CS0010_4e9e05776b80ba0
69PBCMKH,448281717,ARC EN CIEL,69383000BC0100_c4c935647abc60d
69PBCMNX,448029421,NP VILLAIN,69383000DP0068_e943798c6ac2fb8
69PBCMZT,450996970,CATDA,69382000AE0080_b93e53ed2c348eb
69PBCNVH,444208458,CHAMPENOISE DE GESTION,69040000AI0310_29aae75096d5937
69PBCPQ6,392505376,PUY MORY,69383000AP0051_52a38c8db2af51e
69PBCPSB,452054356,BIR HAKEIM 12,69383000AY0090_f26e5f174c6414f
69PBCQ2D,U22325155,SCI FIONA FLORIANE,69389000BP0203_8503e37a779d97d
69PBCQF9,477512404,LE DAWA,69386000AO0064_85b8373b7ccf0a7
69PBCQJZ,478592587,P N R,69385000BO0175_1355d41901a2e3a
69PBCR84,480581503,VALIMMO,69387000BO0112_a0a39992585f023
69PBCRLP,U22324584,SCI EFFER,69381000AP0058_8f7f4f4af145940
69PBCRSD,351173158,L G S A,69386000AX0094_6ec0e45f5b72660
69PBCRSL,479661134,MLSCK,69383000AO0064_563fd83d5fce81b
69PBCRWV,478114366,YVES MINIER,69266000BC0557_8f0c44aa67b2662
69PBCSBC,392756623,30 AUGAGNEUR,69383000AL0091_e02a4fd7b401779
69PBCSSG,482115953,MASSA,69386000BM0131_93d16b9bfefc2d4
69PBCSTJ,480600782,LACHAUX,69383000DT0052_75dc3a1be4be537
69PBCT2N,484807649,CPK 05,69383000AV0048_180486e30709f96
69PBCTGZ,484007612,SCI GOLD,69387000AZ0073_5f39153968b975f
69PBCTL8,483675047,TP IMMOBILIER,69385000BK0087_3074af237f304d4
69PBCTZD,484882824,UROZ,69383000AN0084_22b8a1824e5b8ba
69PBCVF3,483732954,KALAH,69389000BN0010_ebe4b8a3b5ffb1c
69PBCVMJ,410070999,S L D A I MANAGEMENT,69381000AB0031_54aa433244a2129
69PBCVP6,484113782,J L F,69034000BK0370_f471c547573f336
69PBCVT4,481092575,G AV B,69385000AE0089_586fde3d4f97592
69PBCWHH,489539544,MP4,69387000BS0101_82d6aa9adcec5e2
69PBCWSL,450373428,SCI CEJAL,69386000AR0045_e653570ac6bf230
69PBCXJD,449062538,HALBOURG,69383000AH0138_b843e5f27235479
69PBCXR5,492248307,NOJUA,69388000BV0068_a02a8fb3bb162b0
69PBCZ6B,497914242,LES LUPINS,69383000AT0022_db095eb001d521e
69PBCZ83,499164762,AREDHOMA,69382000AS0016_fdca4b092625bff
69PBD22G,424504728,PHILIPPE DEGOUT RAFAEL PENA,69256000BD0250_fae668f5bb9ff5b
69PBD2VM,422027789,MARIANNE,69387000AX0079_6f00299886888cd
69PBD45K,423245976,HMH,69266000CN0132_26794e1b9dd7585
69PBD4ZW,432233427,DU BEULET,69266000BL0323_65f37b1b1e08fb5
69PBD5H8,437659097,NASAMA,69149000AH0046_5992f5279d57c7a
69PBD6ZM,438241531,FLAM 2000,69382000AP0007_a9e5e3719b6f379
69PBD75S,420798035,NABUL,69383000EL0122_b7f11bbc09d91a5
69PBD7WG,440939270,SCI PERSOZ,69266000BN0178_bc2d023cefdc31b
69PBD989,418237210,MARO,69259000AI0040_9943c00e593ebb2
69PBD98N,448599472,BRUXELLES CONDORCET,69266000BH0117_e397a7997a035dd
69PBD99P,345360101,SCI GILHEN,69266000BO0086_1e4c99946dbc2c8
69PBDBMD,U22556645,GROUPE IMMOBILIER 149 151 RUE FRANCIS DE PRESSENSE,69266000BC0245_aca187151f5c7cb
