personne_id,siren,denomination,batiment_groupe_id
69PBGWDD,528467061,SCI LES BISES BIS,69290000CW0615_8dbe44f29857295
69PBGWGW,504213976,ANDERAMI,69387000BS0134_cf9bfdef789c1b5
69PBGWP8,529619108,SCI MARINES,69382000AK0014_4363e26e14e02ff
69PBGX57,U15386431,SDC 35 COURS EMILE ZOLA BK 121,69266000BK0121_fbeef6de3374368
69PBGZGP,418235792,SCI JABER,69244000AO0161_78ff1ff521db23a
69PBGZLL,531196442,CHEMINS DE L'EUROPE,69388000BX0092_6fb676879c31e4e
69PBGZTT,528724776,MELDER,69266000CO0227_cd670d528127da2
69PBGZXH,438411035,PERL,69381000AM0058_b03d0d5ee112a49
69PBH25V,812853927,MALOU,69294000AM0049_8491b441f1a1234
69PBH2HS,484650528,EDELWEIS,69034000AX0410_af1b8c72824ad07
69PBH2KX,813829892,SCI OLIFRAN,69386000AS0010_c4545fcc93829f6
69PBH2TP,813785672,NICOLAS OLIVIER,69244000AT0145_d417ea6f81296e8
69PBH4F5,814966370,SCI FRERES JOURNE,69386000AS0034_11751a39c3dc903
69PBH4PJ,503724536,SCI PH ANGIO,69266000CM0098_70a83a958a76682
69PBH53B,798101770,SCI OMARENTE,69383000AN0050_014dcfd0d4dc12a
69PBH59V,818913592,SCI SALUZOE,69266000AV0049_d5047082fc426e6
69PBH5D6,818991390,SCI AC2E,69382000AP0006_47b070850b985d9
69PBH62G,820777654,LA SARINE,69034000AC0296_bb8a6d5e11db5d2
69PBH6B5,823749635,INDIA,69019000AE0021_0109f3a26ebfd0f
69PBH6DZ,804496966,SCI OULLINS ZOLA,69149000AI0238_557ff84cd59f51e
69PBH6VK,442401808,JAPA,69389000BI0049_98e63ded74528f8
69PBH75D,507408870,3D,69264000AI0529_ed351a9083f10fe
69PBH7BK,819275660,CLEMIC,69027000BE0069_09816dc9cca3688
69PBH7PN,779910892,BON ACCUEIL,69388000AN0329_65fbb3e077bd877
69PBH85V,U28992724,SIVALE 2013 SOCIEDAD LIMITADA,69256000BR0559_5e8d3d0e40feef6
69PBH977,828321109,LECLAN,69027000BE0889_9c0e38d4e349fb3
69PBH9PL,813407475,SCI FONTAINES LES HAUTS DE SAONE,69088000AI0237_267840a052c635c
69PBHB6L,537850539,BARBARAMAUD,69152000AH0315_5ab044b9b3a208d
69PBHC33,U15409700,NEXITY LAMY GARIBALDI,69386000AP0111_375e6db1bee9c28
69PBHCBV,487950057,BRUNET INVEST,69387000AL0081_cb8c27e38b9e382
69PBHD7H,789333796,SCI THE FIRST,69385000BI0188_c808a3cee3df8e4
69PBHFFZ,790014484,SCI DE LYON CENTRE,69383000AP0032_e9df1ffee18f430
69PBHFM5,790991137,MJRM,uf692440117875_d604c112c8aa9bf
69PBHFV7,790657233,SCI VIA LYON,69387000BL0013_58fb959f4e672de
69PBHHR5,790022750,LES CHIENS DE PRAIRIE,69388000AN0277_29186f55f7ee155
69PBHJ6H,792321572,SCI LES FILLES,69204000BB0074_b61dee19d249c77
69PBHK5S,794881524,SCI DU JARDIN SAINT JOSEPH,69382000AZ0194_0ffe6a708cefdc4
69PBHKBV,794755074,PATAUJU,69286000CB0206_b7d4790d6860ba2
69PBHL36,U16360153,NEXITY LYON TETE D OR,69256000BO0388_0c52008e91710fe
69PBHLMV,793764317,MARTINE,69384000AW0250_ca2066b3971ec52
69PBHM25,798541371,HOMECAP,69264000AB0117_9004bd28acc0b45
69PBHM85,733780209,COMPAGNIE DE GESTION PRIVEE-CGP,69264000AL0446_c3e6d0fadbc7856
69PBHMJ6,798121471,HORBEK,69266000BV0098_a704b8bd9be580a
69PBHMTG,794891424,STEPHNAD,uf692830142634_f345a5add296ec9
69PBHP2X,U16953799,COPROPRIETE ALASIA POUR LOCAUX COMMUNS SUR CM 138,69266000CM0138_47088c0d968283a
69PBHPTW,U16906467,NEXITY,69290000EH0231_669fb3036ee5985
69PBHR7T,804248037,SCI BLEU DE TOI,69386000BM0013_d1b589c1aa9545b
69PBHRF7,539047787,SNC VILLEURBANNE DOUAUMONT,69266000AN0144_d0bc6af65873e40
69PBHV24,809673544,SCI OZGUR,69256000AN0245_a37fbd96e56bdd8
69PBHV4W,808885800,RHUMATO DUBOURG PILAT,69290000CW0613_713990b5a862e1b
69PBHWFX,479432734,SCI LES CONFINS,69383000BK0036_87a8efafb3e5c70
69PBHWVH,399025030,SCI DE VEYRE 94,69266000BB0076_cec492d0c1100c0
69PBHX3P,808863898,D'ANJOU,69387000BK0036_b7d49c65520688a
69PBHZ28,812471530,PRESSENSE IMMOBILIERE,69266000BE0269_4dbbb9a12f95b06
69PBJBKG,830552386,SCI LAFDAM,69115000AB0117_4f0d0bfb2c29fb5
69PBJC4C,820891778,IMMOPERL 1,69383000CT0010_dfd71b56a7f0cf3
69PBJCBL,421915125,DU CHAPITRE,69383000AY0060_210956180d947c4
69PBJCBP,823887021,SCI 99,69386000BE0004_e21c3341411de91
69PBJCRG,828817353,LES JARDINS DE FOURVIERE 2017,uf693850251961_6f009ecb83a86dd
69PBJCZZ,824118764,NEY 42,69386000BD0032_b751bb72b6e3f33
69PBJDH2,831739420,CLEM'INVEST,69204000AT0264_8b35758ac44b56a
69PBJGF6,832815682,AUDOMAROTHIER,69268000AO0454_568af96bd418c13
69PBJH75,840810568,SCI SAMOTHRACE LB,69204000BH0223_bb376b4168e012c
69PBJHF7,834790636,SENA,69264000AH0040_b9ee7f07a845d94
69PBJHMN,524883949,WHITE IMMOBILIER,69202000AS0126_08cdbc0d9a499a7
69PBJJXH,833553332,3M,69290000CM0185_c8a1b2a579c263c
69PBJJXR,832334668,SCI FAPN ALFARO,69266000AZ0109_27f4afa5f91b3a1
69PBJKBV,833542715,SCI DT IMMO 26,69266000BL0028_7ef7d8617ee66fd
69PBJKXS,U20686606,BNP PARIBAS REPM,69389000AP0169_0b41711d047c275
69PBJLKM,752483446,JUSTINA,69040000AH0264_dfa2855df27a4cf
69PBJLSX,832196661,SCI LYON 8 SAINT NESTOR,69388000BN0097_fc8b24e632b0d76
69PBJLZX,847724291,RIGOULOT IMMO,69127000AH0005_b6268578fc53578
69PBJMGB,838304822,ISACHRIS,69382000AS0040_53be592683365a8
69PBJMNV,818658783,WARM UP,69389000BC0128_c444e7b1b67d54a
69PBJMRH,840592117,3GD,69264000AH0053_0ff8266e86c8a1c
69PBJNGF,811476118,AR - KB,69244000AS0204_3258deaf2e1f8ab
69PBJP5N,840328587,LYON MIRIBEL 2018,69387000BK0122_2a5fa71ab5e85ca
69PBJRCC,841907637,SCI CHRISKAT,69264000AC0689_5d1a62d53eece30
69PBJRCL,842825234,C H T M X,69264000AN0116_9477573cec1ec1a
69PBJSMH,878466622,SCI SAINT-GEORGES,69264000AL0340_9de285daa701ddb
